z [m],M_0 [-],tau [-],Nc_L [%],F_n [N],W_f [kg/s],jet_V [m/s],jet_Tt [K],jet_rho [kg/m3],jet_A [m2],jet_M [-],core_mdot [kg/s],core_Pt_i [Pa],core_Tt_i [K],core_Tt_j [K],turb_DTt_des [K],turb_rho_i [kg/m3],turb_c_i [m/s],turb_rho_e [kg/m3],turb_c_e [m/s],fan_mdot [kg/s],fan_N [rpm],fan_DTt [K]
0,0.25,0.3,0,21526.0351,0.3693,240.52211,395.38431,0.96225,0.61934,0.62734,17.58055,935078.9672,577.37379,1318.91805,534.43851,2.36001,701.54442,0.56009,546.23729,144.09512,2199.03272,25.92677
0,0.3,1.05,0,74133.0009,1.3135,442.68935,528.86631,0.81336,0.62141,1.06416,34.90961,2263561.162,753.48917,1959.79764,861.44384,3.84484,844.94852,0.60454,632.29195,224.62509,3548.60315,74.98033
0,0.3,1,0,70605.1918,1.2281,430.57069,516.48916,0.82757,0.6203,1.04371,33.82407,2166186.486,740.05402,1911.84678,838.974,3.77171,835.15627,0.60523,625.84881,221.93003,3450.53418,70.63554
0,0.3,0.95,0,67074.6329,1.152,418.89788,505.96844,0.83911,0.61959,1.02223,32.75273,2074645.295,728.46676,1870.2951,819.36232,3.69256,826.5849,0.60341,620.23006,218.69552,3367.65993,66.93396
0,0.3,0.9,0,63543.6881,1.0816,407.29963,496.4114,0.84925,0.61935,0.99972,31.69367,1986759.194,717.87459,1831.74569,801.1461,3.61054,818.52902,0.60027,614.95571,215.15003,3290.03,63.579
0,0.3,0.85,0,60014.1698,1.0147,395.6797,487.40968,0.85867,0.61932,0.9764,30.64068,1901078.42,707.77212,1794.40344,783.43461,3.52672,810.638,0.59651,609.80461,211.33799,3210.2385,60.42485
0,0.3,0.8,0,56487.8887,0.9509,384.05349,478.93432,0.86742,0.61927,0.95239,29.58988,1817212.003,697.97449,1758.01463,765.99439,3.44091,802.86912,0.59247,604.78815,207.22123,3134.53006,57.42922
0,0.3,0.75,0,52954.1225,0.8898,372.30433,470.86457,0.87562,0.61932,0.92748,28.5253,1734001.574,688.29738,1722.51424,748.68585,3.35101,795.20067,0.58794,599.93533,202.80938,3065.58822,54.54664
0,0.3,0.7,0,49423.7068,0.8307,360.40432,463.08253,0.88351,0.61932,0.90175,27.44582,1651170.412,678.60054,1687.36277,731.17064,3.2574,787.51721,0.58318,595.19918,198.11005,2998.74744,51.71351
0,0.3,0.65,0,45896.8289,0.7731,348.27768,455.41393,0.89137,0.61929,0.87518,26.33826,1568005.014,668.77481,1652.14514,713.15758,3.15927,779.74824,0.57834,590.55665,193.15052,2929.20757,48.85149
0,0.3,0.6,0,42365.529,0.7155,335.72147,447.49636,0.89994,0.61931,0.84756,25.21536,1483875.922,658.36574,1614.40938,693.64881,3.05964,771.34338,0.57421,585.58173,187.99622,2851.49388,45.86706
0,0.3,0.55,0,38834.2038,0.6588,322.79326,439.54187,0.90883,0.61932,0.81883,24.08056,1399637.634,647.60904,1574.94565,673.08729,2.95825,762.43834,0.57062,580.35989,182.55795,2767.69411,42.85067
0,0.3,0.5,0,35302.544,0.6035,309.47323,431.65031,0.91783,0.61932,0.78882,22.93099,1315489.877,636.5162,1534.12276,651.49992,2.85438,753.09374,0.56734,574.98252,176.76784,2675.89985,39.81436
0,0.3,0.45,0,31772.1679,0.5487,295.63212,423.59544,0.92743,0.61932,0.75736,21.75801,1230375.234,624.68993,1490.63711,628.09556,2.74758,742.98573,0.56471,569.29272,170.64092,2574.90504,36.66302
0,0.3,0.4,0,28241.5681,0.4937,281.12118,415.12104,0.93828,0.61932,0.72428,20.5619,1143781.899,611.69144,1442.42833,601.97495,2.63957,731.61956,0.5636,562.92079,164.17464,2465.35529,33.34163
0,0.3,0.35,0,24711.8132,0.4395,265.92426,406.50092,0.9498,0.61932,0.68921,19.33443,1056053.866,597.7528,1390.80209,573.6901,2.52758,719.23205,0.56354,556.06955,157.21757,2352.70944,29.94642
0,0.3,0.3,0,21181.8464,0.3863,249.90016,397.74867,0.96199,0.61933,0.65172,18.07827,967469.9643,582.89212,1335.17785,542.98311,2.41202,705.58619,0.56483,548.6078,149.65612,2232.77482,26.47493
0,0.35,1.05,0,73331.386,1.3468,450.20839,532.10069,0.81332,0.6227,1.08222,35.5801,2312709.29,757.64541,1969.44472,864.92234,3.90908,846.91732,0.61456,633.95252,228.89701,3557.42727,75.35887
0,0.35,1,0,69841.8253,1.2611,438.37631,519.93871,0.82719,0.62129,1.0624,34.4985,2215448.593,744.48212,1922.36746,842.90729,3.83637,837.32119,0.61522,627.63283,226.20192,3461.57196,71.09651
0,0.35,0.95,0,66349.1182,1.1844,426.9605,509.53707,0.83853,0.62022,1.04156,33.42469,2123482.158,733.03437,1881.3959,823.57334,3.75718,828.89481,0.61339,622.11091,222.96974,3379.91879,67.43774
